lemma;id;pos;gloss;Russian gloss
бережьно;134516;Df;reasonably, providently;разумно, предусмотрительно
бережьныи;136472;A-;safe, prudent;сохранный, предусмотрительный
беременная;136034;A-;pregnant;беременная
береньдичи;133661;Nb;Berendei;берендеи
бересто;139738;Nb;birch bark;береста
беречи;123690;V-;care, protect, preserve;заботиться, оберегать, хранить
бесерменинъ;143925;Nb;Moslem, non-Christian;мусульманин, нехристианин
бесерменьскыи;143086;A-;Moslem, non-Christian;мусульманский, нехристианский
бесерменьство;143087;Nb;Islam;ислам
бесквьрьныи;135920;A-;bloodless;бескровный
бесконьчьныи;131570;A-;endless, enormous;бесконечный, огромный
бескудьныи;132111;A-;abundant;обильный
бесловесьныи;123643;A-;dumb;бессловесный
бесплодие;135520;Nb;infertility;неплодородие
беспрѣстаньно;141142;Df;incessantly;беспрестанно
бесрамьныи;135130;A-;shameless;бесстыдный
бестрашие;135486;Nb;fearlessness;бесстрашие
бестрашьныи;135473;A-;impertinent;дерзкий
бестудьныи;125572;A-;shameless;бесстыдный
бесхмельныи;139547;A-;hopless;не хмельной
бесчиние;134468;Nb;public nuisance, indecent behaviour;нарушение порядка, непристойное поведение
бесчиньникъ;141184;Nb;hooligan;безобразник
бесчиньныи;140008;A-;breaching the peace;нарушающий порядок
бесчиньствовати;139774;V-;break squares;нарушать порядок
бесчисльно;143398;Df;infinitely, immeasurably;бесчисленно, безмерно
бесчисльныи;124694;A-;countless, immesurable;бесчисленный, безмерный
блудити;130402;V-;wander, commit adultery;блуждать, прелюбодействовать
блудъ;123436;Nb;licentiousness;распутство
блудьникъ;135386;Nb;fornicator;распутник
блудьница;133690;Nb;fornicatress;распутница
блудьныи;129835;A-;licentious, obscene;распутный, непристойный
блудьня;138950;Nb;licentiousness;распутство
блужение;130062;Nb;licentiousness;распутство
блъха;136353;Nb;flea;блоха
бльвание;135537;Nb;vomiting;рвота
бльвати;140369;V-;discredit;порочить
бльвотина;142656;Nb;vomit;рвота
бльщати;134193;V-;glitter;сверкать
блюдение;134127;Nb;care;попечение
блюдо;135978;Nb;dish;блюдо
блюсти;125234;V-;keep, guard, obey, refl: beware, obey;хранить, сторожить, соблюдать, refl: остерегаться, слушаться
блюститель;137167;Nb;guardian;хранитель
блядивыи;137226;A-;foolish;вздорный
блядь;138735;Nb;false doctrine, whore;лжеучение, шлюха
блядинъ;138924;A-;of a bitch;сукин
блядьня;141080;Nb;false doctrine;лжеучение
блясти;135345;V-;lie;лгать
бобръ;137220;Nb;beaver;бобр
богатыи;131083;A-;rich, expensive, plentiful;богатый, дорогой, обильный
богатьство;125521;Nb;wealth;богатство
богатѣти;136455;V-;grow rich;богатеть
богоблаженыи;134675;A-;happy in God;в Боге счастливый
богобоязнивыи;135214;A-;God-fearing;богобоязненный
богогласьныи;141231;A-;preaching God;проповедующий Бога
богодъхновеныи;130571;A-;inspired by God;вдохновлённый Богом
богознамение;140457;Nb;divine sign;божественное знамение
боголюбивыи;132096;A-;loving God;любящий Бога
боголюбьць;139771;Nb;loving God;любящий Бога
богомати;140508;Nb;the Mother of God;Богоматерь
богомудрыи;131587;A-;godlike wise;божественно-мудрый
богомужьныи;143171;A-;divine-human;богочеловеческий
богомьрзкыи;135485;A-;ungodly;богомерзкий
богоносьныи;141178;A-;carrying God;носящий в себе Бога
богоотроковица;138705;Nb;the Mother of God;Богоматерь
богоразумие;138725;Nb;perception of God;познание Бога
богородичьныи;135478;A-;of the Mother of God;богородицин
богословъ;123876;Nb;theologian;богослов
богословьць;130958;Nb;theologian;богослов
богоугодьно;135376;Df;pleasingly to God;богоугодно
богоугодьныи;135667;A-;pleasing to God;богоугодный
богоугодьнѣ;141144;Df;pleasingly to God;богоугодно
боженка;134331;Nb;chapel;часовня
божити;135333;V-;refl: swear;refl: клясться
божьница;141021;Nb;church;церковь
божьство;130864;Nb;divine substance, God;божественная сущность, бог
бои;133432;Nb;battle;бой
бокъ;130747;Nb;side;бок
болванъ;144180;Nb;idol;идол
болесть;131398;Nb;illness;болезнь
болии;120889;A-;more;больший
болоние;133231;Nb;low riverland;низменное поречье
болото;133200;Nb;swamp;болото
болъдиныи;132742;A-;Boldin;Болдин
больма;131567;Df;more;больше
больми;142932;Df;more;больше
больница;134943;Nb;hospital;больница
больныи;132655;A-;ill, of illness, painful;больной, относящийся к болезни, болезненный
большии;124777;A-;more, bigger, elder;больший, старший
болѣзновати;135299;V-;care;заботиться
болѣзнь;130187;Nb;illness, grief;болезнь, горе
болѣзньныи;135471;A-;unhealthy;болезненный
болѣти;125479;V-;be ill, ache, care;болеть, заботиться
боляринъ;125293;Nb;boyar;боярин
боляровъ;141446;A-;boyars';боярский
болярыня;139560;Nb;boyar's wife;боярыня
болярьство;124469;Nb;boyardom;боярство
болярьць;137522;Nb;boyar;боярин
боранина;143887;Nb;mutton;баранина
боранъ;136399;Nb;ram;баран
борода;134930;Nb;beard;борода
борона;138210;Nb;harrow;борона
боронити;123484;V-;protect;защищать
бороти;124757;V-;fight, refl: fight;сражаться, refl: бороться
борть;138620;Nb;hive;борть
бортьныи;138621;A-;apicultural;пчеловодческий
бърщь;136357;Nb;an eatable plant;вид съедобного растения
боръ;122943;Nb;coniferous forest;бор
борьба;131929;Nb;fight;борьба
босикомъ;140291;Df;barefoot;босиком
бости;134018;V-;gore, wound;бодать, ранить
босыи;132810;A-;barefoot;босой
ботьвинье;136641;Nb;botvinya (a cold soup);ботвинья
боярыни;137520;Nb;boyar's wife;боярыня
боярьскыи;123573;A-;boyars';боярский
вещание;129994;Nb;sermon;проповедь
вещь;133387;Nb;thing, craft, misfortune, sin;вещь, ремесло, несчастье, грех
взаимы;140931;Df;on credit;взаймы
взбѣжати;139793;V-;go up against the current;подняться против течения
видати;140263;V-;see, refl: see each other;видеть, refl: увидеться
видимыи;130619;A-;visible;видимый
видокъ;137685;Nb;eye-witness;очевидец
видъ;130110;Nb;species, image, appearance;вид, образ, облик
видѣние;132585;Nb;vision, eye, appearance;видение, глаз, облик
византия;143047;Ne;Byzantium;Византия
византия;143098;Nb;Byzantium;Византия
викия;142808;Nb;vessel;сосуд
вина;130085;Nb;cause, guilt, crime, sin, punishment;причина, вина, преступление, грех, наказание
винити;137253;V-;refl: confess;refl: признаваться
вино;120466;Nb;wine, vodka;вино, водка
виноватыи;123598;A-;guilty;провинившийся, виновный
виновьныи;138640;A-;causing, guilty;являющийся причиной, виновный
виноградъ;130912;Nb;grape, vineyard, orchard;виноград, виноградник, фруктовый сад
вира;130708;Nb;fine for murder, right to impose a fine for murder;штраф за убийство, право взимания штрафа за убийство
вирьникъ;137587;Nb;criminal investigator;следователь по уголовным делам
вирьныи;138090;A-;of a fine for murder;вирный
висѣлица;140300;Nb;gallows;виселица
висѣти;130487;V-;depend, hang;зависеть, висеть
витати;124524;V-;dwell;обитать
вити;136363;V-;refl: curl;refl: завиваться
витьблянинъ;143560;Nb;inhabitent of Vitebsk;витеблянин
вишня;136240;Nb;cherry;вишня
вишьневыи;136394;A-;cherry;вишнёвый
владыка;120486;Nb;lord, member of higher orders of clergy;владыка
владычица;133277;Nb;Our Lady, ruler;Богородица, правительница
владычьныи;123711;A-;God's, lord's;божий, относящийся к владыке
владычьствие;143216;Nb;power;власть
владычьство;134958;Nb;power;власть
владьствовати;143137;V-;rule;править
властелинъ;135613;Nb;ruler;правитель
властелинъскыи;140448;A-;ruler's;относящийся к правителю
властель;131691;Nb;ruler;правитель
власъ;133016;Nb;hair;волос, шерсть
власяница;132712;Nb;hair-shirt;грубая шерстяная одежда
власяныи;142733;A-;woolen;шерстяной
влачити;134238;V-;pull;тащить
воробиевъ;140396;A-;Sparrow;Воробьёв
воробии;124932;Nb;sparrow;воробей
воровати;139260;V-;break the law;нарушать закон
ворогъ;133051;Nb;enemy;неприятель
ворожити;139604;V-;exorcise;ворожить
ворожьбитъ;134297;Nb;villain;злодей
вороница;133951;Ne;Voronitsa;Вороница
воронъ;132798;Nb;raven;ворон
ворота;124128;Nb;gate;ворота
воротити;131937;V-;return;вернуть
воротьникъ;124090;Nb;guard;караульный
ворочати;138331;V-;return;возвращать
ворошити;135960;V-;touch;трогать
воръ;135383;Nb;cheater, villain;мошенник, злодей
воскъ;124774;Nb;wax;воск
вото;125345;I-;here;вот
вотоляныи;132788;A-;made of wadmal;сделанный из вотолы
вотчина;136140;Nb;patrimonial estate;вотчина
вотъ;140595;I-;here;вот
впередь;135049;Df;in the future, in advance, above (in the text);в будущем, вперёд, выше (в тексте)
впрямь;140435;Df;really;впрямь
врѣдити;134104;V-;injure, refl: suffer;причинять вред, refl: пострадать
врѣдъ;131921;Nb;detriment;вред
въжадати;130882;V-;want;возжелать
въжелѣти;137491;V-;want;возжелать
въжещи;132804;V-;light, set on fire;зажечь, поджечь
въжигати;135016;V-;light;зажигать
възавидѣти;130385;V-;envy;позавидовать
възадъ;139903;Df;back;назад
възалъкати;130881;V-;feel hungry;почувствовать голод
възблагодарити;143411;V-;thank;поблагодарить
възбнути;134703;V-;awake;проснуться
възбранение;141257;Nb;obstacle;препятствие
възятие;123549;Nb;seizure;взятие
въину;137315;Df;permanently;вечно
въкладати;132784;V-;put in;вкладывать
въкладъчикъ;141418;Nb;investor in a cloister;делающий пожертвование монастырю
въкрасти;133283;V-;refl: go stealthily;refl: прокрасться
въкругъ;143077;R-;around;вокруг
въкупѣ;123793;Df;together, simultaneously;вместе, одновременно
въкусити;129853;V-;eat, experience;съесть, познать
въкушати;130153;V-;eat, experience;есть, познавать
въкушение;132738;Nb;eating, food;съедание, еда
вълагати;132545;V-;put in, precipitate into;класть, ввергать
въстащити;140768;V-;stand up with difficulty;с трудом встать
въстаяти;132779;V-;stand up, oppose, emerge;вставать, выступать против, появляться
багубарсовъ;133986;A-;Bagubars's;Багубарсов
бедерь;143731;Ne;Bidar;Бедерь (Бидар)
бедерьханъ;144249;Ne;Bidar-khan;Бедерьхан
берекезанъ;143656;Ne;Berekezan;Берекезан
беренди;133552;Ne;Berendi;Беренди
берестие;131901;Ne;Berestie (Brest);Берестье (Брест)
берестовое;131399;Ne;Berestovoe;Берестовое
блудъ;125663;Ne;Blud;Блуд
болеславъ;130674;Ne;Boleslav;Болеслав
болушь;132181;Ne;Bolush;Болуш
бонякъ;133126;Ne;Bonjak;Боняк
борисовичь;143580;A-;Borisovich;Борисович
борисовъ;131535;A-;Boris's;Борисов
борисъ;129788;Ne;Boris;Борис
боричевъ;122940;Ne;Borichev;Боричев
боричевъ;137580;A-;Borich's;Боричев
боричь;141386;A-;Borich;Борич
бохмитъ;129931;Ne;Bokhmit;Бохмит
бохмичь;129930;A-;Moslem;мусульманский
бочесьныи;136145;A-;barrel;бочковой
бочечка;136519;Nb;small barrel;бочечка
бочечьныи;136870;A-;barrel;бочковой
боязнивыи;137811;A-;God-fearing;богобоязненный
боязнь;129906;Nb;fear;боязнь
броды;134581;Ne;Brody;Броды
бруны;124445;Ne;Bruny;Бруны
брячиславъ;131934;Ne;Brjachislav;Брячислав
бугунъ;143636;Ne;Bugun;Бугун
бугъ;123057;Ne;Bug;Буг
буды;131801;Ne;Budy;Буды
бужьское;137114;Ne;Buzhskoe;Бужское
бужьскъ;133765;Ne;Buzhsk (Busk);Бужск (Буск)
бузанъ;143615;Ne;Buzan;Бузан
буицѣ;143529;Ne;Buitse;Буйце
булатъ;143772;Ne;Bulat;Булат
бѣлобережие;124661;Ne;Beloberezhie;Белобережье
бѣлъгородъ;130768;Ne;Belgorod;Белгород
бяидюкъ;133032;Ne;Bjandjuk;Бяндюк
варяжько;129731;Ne;Varyazhko;Варяжко
василиевъ;130638;Ne;Vasiljev;Васильев
василии;123461;Ne;Basil, Vasily;Василий
василь;133779;Ne;Vasil;Василь
василько;133129;Ne;Vasilko;Василько
васьянъ;123897;Ne;Vassian;Вассиан
ватрь;122417;Ne;Vatr;Ватрь
вениаминъ;131006;Ne;Benjamin;Вениамин
венияминъ;134655;Ne;Benjamin;Вениамин
вергъ;144301;Ne;Verkh;Верх
веряжа;123706;Ne;Verjazha;Веряжа
вефиль;130369;Ne;Bethel;Вефиль
вилигии;130966;Ne;Vigilius;Вигилий
вирсавия;140535;Ne;Bathsheba;Вирсавия
висла;122693;Ne;Vistula;Висла
вифлеомъ;130174;Ne;Bethlehem;Вифлеем
вифуния;124024;Ne;Bithynia;Вифиния
воинъ;133959;Ne;Voin (Vainius);Воин
воинь;132863;Ne;Voin (Vainius);Воинь
вологъда;139006;Ne;Vologda region;Вологда (область)
володарь;132869;Ne;Volodar;Володарь
володимѣрь;132184;Ne;Vladimir;Владимир
володимиръ;130821;Ne;Vladimir;Владимир
володиславъ;133789;Ne;Vladislav;Владислав
волосатыи;131433;Ne;Haired;Волосатый
волосъ;130582;Ne;Veles;Волос (Велес)
волынь;131799;Ne;Volyn;Волынь
вонада;144323;Ne;Vonada;Вонада
воспории;124104;Ne;vosporii;воспории
вранъ;132797;Nb;raven;ворон
вритания;123635;Ne;Britain;Британия
врѣжати;132566;V-;injure;причинять вред
вуефастъ;124963;Ne;Vuefast;Вуефаст
вузьлѣвъ;124456;Ne;Vuzlev;Вузлев
възвеличити;125672;V-;praise;восхвалить
възвеселити;125326;V-;gladden, refl.: rejoice;обрадовать, refl.: предаться веселью
възвести;130339;V-;raise, take up-stream;поднять, провести вверх по реке
възводити;133519;V-;raise;поднимать
възволочити;142735;V-;put on;надеть
възворотити;134440;V-;return;возвратить
възвращати;124579;V-;return;возвращать
възврѣщи;142963;V-;lay;возложить
възвысити;131669;V-;lift up, exalt;поднять вверх, возвеличить
възвыти;132441;V-;set up a howl, begin to cry;взвыть, закричать
възвышати;133093;V-;raise;возносить
възвыше;130602;Df;in height;в высоту
възвышение;139438;Nb;eminence, exaltation;возвышение, возвеличивание
възвѣсити;136697;V-;weigh;взвесить
възвѣститель;144387;Nb;one who reports, inform;тот, кто сообщает
възвѣстити;124497;V-;inform, tell;сообщить, поведать
възвѣщати;134242;V-;inform;сообщать
възвѣщение;130432;Nb;announcement;сообщение
възгарати;125623;V-;take fire;загораться
възглаголати;121287;V-;proclaim;провозгласить
възгласити;144469;V-;proclaim;провозгласить
възглашати;143266;V-;pronounce aloud;громко произнести
вълга;123048;Ne;Volga;Волга
вълхевьць;141011;Ne;Volkhovets;Волховец
вълховъ;122749;Ne;Volkhov;Волхов
въльга;136052;Ne;Volga;Волга
вънъкына;132899;Ne;Vonkin;Вонкин
въстрь;131507;Ne;Vostr;Вострь
въторыи;124866;Mo;2nd;второй
выдобычь;133334;Ne;Vydobych;Выдобыч
вырь;133974;Ne;Vyr;Вырь
вытечевъ;134454;Ne;Vitechev;Витечев
вышата;132045;Ne;Vyshata;Вышата
вышатинъ;132417;Ne;Vyshata's;Вышаты
вышегородъ;125108;Ne;Vyshgorod;Вышгород
вышегородьскыи;131594;A-;of Vyshgorod;вышегородский
вышегородьць;131596;Nb;Vyshgorod resident;вышегородец
вышеславъ;129786;Ne;Vysheslavl;Вышеслав
вьручии;125399;Ne;Ovruch;Вручий (Овруч)
вьрхъ;122744;R-;upstream;выше (по течению)
вьрхъ;123047;Nb;top, upper, cupola;верх, верховье, купол
вьрхъ;141379;Ne;Verkh (tsar's palace);Верх (царский дворец)
вьсеволодъ;129783;Ne;Vsevolod;Всеволод
вьсеволожь;133646;Ne;Vsevolozh;Всеволож
вьсеславъ;131330;Ne;Vseslav;Всеслав
вѣ;132352;Pp;we two;мы двое
вягръ;134041;Ne;Wiar;Вягр (Вагр, Вяр)
вятичи;130562;Ne;Vyatichi;вятичи
вятько;123167;Ne;Vjatko;Вятько
вячеславъ;132004;Ne;Vjacheslav;Вячеслав
гаваонъ;138822;Ne;Gibeon;Гаваон
гаврилъ;130131;Ne;Gabriel;Гавриил
гадира;124010;Ne;Gadira;Гадира
газьскыи;141421;A-;Gaza;газский
галатия;124103;Ne;Galatia;Галатия
галатьскыи;143308;A-;Galatian;галатский
галуи;143110;Ne;Galui;Галуй
гвоздьникы;144058;Nb;clove;гвоздика (пряность)
гедеонъ;130265;Ne;Gedeon;Гедеон
генадии;143581;Ne;Gennady;Геннадий
георгии;123405;Ne;Georgy, George;Георгий
герасимъ;140566;Ne;Gerasim;Герасим
герьманъ;132505;Ne;German;Герман
гиона ;124095;Ne;Giona;Гиона
глоговъ;137621;Ne;Glogov;Глогов
глушица;143122;Nb;bay;залив
голатъ;144023;Ne;Golat;Голат
голотичьскъ ;132264;Ne;Golotichesk;Голотическ
гълтавъ;133929;Ne;Goltav;Голтав
гомолъ;124439;Ne;Gomol;Гомол
гоморъ ;130138;Ne;Gomorrah;Гомора
гондустанъ;143827;Ne;Gondustan;Гондустан
гондустаньскыи;143577;A-;Gondustan;гондустанский
гораздо;130076;Df;very, much more, properly;очень, более, как следует
горазьно;136654;Df;properly;как следует
городьць;131978;Ne;Gorodets;Городец
горошинъ;133916;Ne;Goroshin;Горошин
горько;134277;Df;bitterly;горько
горѣ;122821;Df;up;вверх
горясѣръ;131556;Ne;Goriaser;Горясер
господьскыи;136269;A-;dominical;господний
григории;123366;Ne;Grigory, Gregory;Григорий
григорьевъ;138738;Ne;Grigoriev;Григорьев
гримъ;124407;Ne;Grim;Грим
гунастръ;124447;Ne;Gunastr;Гунастр
гурии;140364;Ne;Gury;Гурий
гурмызъ;143714;Ne;Ormus;Гурмыз (Ормуз)
гълѣбъ;129789;Ne;Gleb;Глеб
гѣлмикo;143570;Ne;Helmik;Гелмик
гюргевъ;133052;Ne;Yuriev;Юрьев
гюрята;133349;Ne;Yuriata;Юрята
давеча;138923;Df;recently;недавно
давыдъ;134074;Ne;David;Давыд
давыдьскы;134275;Df;as David;Давидов
давьно;140351;Df;long ago;давно
давѣ;132696;Df;long ago;давно
даже;138729;Df;even;даже
даже;140978;Dq;until;пока
дажьбогъ;129752;Ne;Dazhdbog;Даждьбог
дале;137153;Df;further;далее
далеконько;140259;Df;a long while;далеконько
далече;120477;Df;far away;далеко
далматия;124112;Ne;Dalmatia;Далматия
дальматъ;143106;Ne;Dalmat;Далмат
дамасъ;130951;Ne;Damas;Дамас
дамианъ;142765;Ne;Damian;Дамиан
данилъ;124993;Ne;Daniil (Danila);Даниил (Данила)
данъ;131002;Ne;Dan;Дан
дауры;139186;Ne;Daur;дауры
двашьды;125578;Df;twice;дважды
двина;122702;Ne;Dvina;Двина
девгеневичь ;132973;Ne;Devgenevich;Девгеневич
девора;140875;Ne;Devora;Девора
девяносто;140142;Ma;90;90
девятыи;130207;Mo;9th;девятый
девятьдесятъ;121123;Ma;90;90
девятьнадесять;131333;Ma;19;19
девятьсътъ;133873;Ma;900;900
дементии;140150;Ne;Dementy;Дементий
демиянъ;132653;Ne;Demian;Демьян
денисъ;140380;Ne;Denis;Денис
дербентъ;143668;Ne;Derbent;Дербент
дербенть;143641;Ne;Derbent;Дербент
дерева;125266;Ne;Dereva (Derevlian land);Дерева (деревлянская земля)
деревьстръ;134353;Ne;Derevestr;Деревестр
дерестръ ;129710;Ne;Derestr (Dorostol);Дерестр (Доростол)
десна;122735;Ne;Desna;Десна
десятеро;140532;Ma;ten (of);десятеро
десятыи;130221;Mo;10th;десятый
десять;124158;Ma;10;10
десять;143568;Mo;10th;десятый
дивьно;122879;Df;amazingly;дивно
димовантъ;143680;Ne;Dimovant;Димовант
диоклитианъ;143103;Ne;Diocletian;Диоклетиан
дионисии;138642;Ne;Dionisius;Дионисий
диоскоръ;130922;Ne;Dioskoros;Диоскор
для;135918;R-;for;для
добровольно;143593;Df;freely;беспрепятственно
добрыня;125283;Ne;Dobrynia;Добрыня
докамѣстъ;140621;Dq;until;до тех пор пока
доколѣ;132336;Df;until;до тех пор пока
долобьскъ;134028;Ne;Dolobsk;Долобск
долу;123768;Df;down;вниз
дольматовъ;123740;Ne;Dolmatov;Долматов
долѣ;132437;Df;down;внизу
дома;130727;Df;at home;дома
доманътъ;143100;Ne;Domant;Домант
домнинъ;130969;Ne;Domnin;Домнин
домострой;134603;Ne;Domostroy;Домострой
донъ;133973;Ne;Don;Дон
донынѣ;123019;Df;until now;доныне
допъяна;140413;Df;dead (drunk);допьяна
дорогобужь;132888;Ne;Dorogobuzh;Дорогобуж
дорогожичь;125665;Ne;Dorogozhich;Дорогожич
доселѣ;125193;Df;until now, this far;до сих пор, до этого места
достоино;124290;Df;should, worthily;достойно
древле;132237;Df;in former times;в старину
дрьютьскъ;133909;Ne;Driutsk;Дрютск
дрютьскъ;133887;Ne;Driutsk;Дрютск
дубровьно;123887;Ne;Dubrovno;Дубровно
дубьнъ;134124;Ne;Duben;Дубен
дунаи;121222;Ne;Danube;Дунай
духовьно;134493;Df;spiritually;духовно
дъвадесяти;121149;Ma;20;20
дъванадесять;134622;Ma;12;12
дъвои;136769;Ma;two (of);двое
дъвѣ тысячи;130624;Ma;2000;2000
дъвѣсътѣ;129791;Ma;200;200
дълго;139104;Df;long;долго
дъмитръ;134757;Ne;Dmitr;Дмитр
дънѣстръ;124186;Ne;Dniester;Днестр
дьмитрии;123577;Ne;Dmitry, Dimitrius;Димитрий
дьньсь;129964;Df;today;сегодня
дьржавьно;134884;Df;as a sovereign;державно
дьрзо;140100;Df;boldly;смело
дьрзостьно;143429;Df;boldly;смело
дѣгъ;143722;Ne;Deg;Дег
дѣля;121106;R-;for;для, ради
евагрии;130926;Ne;Evagrius;Евагрий
евга;130224;Ne;Eve;Ева
евдокия;139562;Ne;Eudokia, Eudoxia;Евдокия
евия;124137;Ne;Evia;Евия
европия;143061;Ne;Europe;Европа
евстафии;123728;Ne;Eustathius;Евстафий
евтухии;130967;Ne;Eutukhy;Евтухий
евтухъ;130921;Ne;Eutukh;Евтух
евфимеи;138917;Ne;Euthymius;Евфимий (Ефимий)
евфимия;140678;Ne;Euthymia;Евфимия (Ефимия)
егда;122891;Dq;when;когда
егри;124413;Ne;Egri;Егри
егупьтъ ;123998;Ne;Egypt;Египет
еда;133212;Du;when;когда
едемъ;130375;Ne;Eden;Эдем
едесъ;143173;Ne;Edessa;Эдес
едигеръ;144214;Ne;Ediger;Едигер
единогласьно;135111;Df;with one voice;единогласно
единошьды;143958;Df;once;однажды
еже;135368;Dq;when, if;когда, если
ежеденъ;143716;Df;each day;ежедневно
ездра;130491;Ne;Ezra;Ездра
езекия;132855;Ne;Hezekiah;Езекия
еи;134850;I-;oh;ей, о
елагинъ;140467;Ne;Elagin;Елагин
елена;143101;Ne;Elena;Елена
елеуфѣрии;124662;Ne;Eleuterus;Элевферий
елизаровъ;140078;Ne;Elizarov;Елизаров
елизаръ;140714;Ne;Elizar;Елизар
елико;123548;Dq;to the extent;сколько, чтобы
елико;136043;Du;how many;сколько
еликыи;140968;Pi;how many;сколько
елимаисъ ;123940;Ne;Elimais;Елимаис
еловичь ;131828;Ne;Elovich;Елович
емигъ;124441;Ne;Emig;Эмиг
енданъ;130370;Ne;Endan;Ендан
енисеискъ;139192;Ne;Eniseisk;Енисейск
енохъ ;124981;Ne;Enoch;Енох
епифании;140397;Ne;Epiphany, Epiphanius;Епифаний
ереи;130373;Ne;Iereus;Иерей
ерлисковъ;124414;Ne;Evliskov;Евлисков
ермола;130973;Ne;Hermolai;Ермола
еровамъ;130367;Ne;Ierovam;Иеровам
ерусалимъ;143890;Ne;Ierusalim;Иерусалим
есфирь;140873;Ne;Esther;Эсфирь
етеръ;120473;Px;some, someone;некий, кто-то
етъ;142694;Pd;this;-то
еупракси;134169;Ne;Eupraxia;Евпраксия
еуфимии;132589;Ne;Euthymius;Ефимий
ефесъ;130903;Ne;Efeso;Эфес
ефиопия;123999;Ne;Ethiopia;Эфиопия
ефратъ ;123935;Ne;Euphrates;Ефрат
ефросинъ;139096;Ne;Euphrosyn;Ефросин
ефрѣмъ;132959;Ne;Ephrem;Ефрем
еще;120887;Df;again, still;еще
жалостьно;134695;Df;pitifully;жалостно
жаръкыи;140113;A-;hot;жаркий
желяня;133285;Ne;Zheliania;Желяня
жемчугъ;143947;Nb;pearl;жемчуг
